texture_name,delimiter_1,x-tile,y-tile,placeholder,x-res,y-res,delimiter_2,actual_num_TGAs
bld_settlement_10at.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_settlement_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_siege_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_siege_07t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_siege_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_siege_11t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_sp_castle_06t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_stable_03t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_stable_05t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_stable_07t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_stonewallsets_02t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_tankbarrier1_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
bld_tankfactory_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_tankfactory_12t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_temple_02t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_temple_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_temple_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_temple_09t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_temple_14t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_thebabylontower_04t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_thetempleofzeus_04t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_tower_01t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_toweroflondon_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_towncenter_01t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_towncenter_02t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_towncenter_03t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_towncenter_04t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_towncenter_06t.sst,b'\x00',1,3,b'\x00\x00\x00',256,256,b'\x00',3
bld_towncenter_08t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_towncenter_10t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_towncenter_12t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_university_03t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_university_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_university_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_university_08t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_university_11t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_wonder16_12t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',1
boot icon_down.sst,b'\x00',1,1,b'\x00\x00\x00',16,16,b'\x00',1
boot icon_up.sst,b'\x00',1,1,b'\x00\x00\x00',16,16,b'\x00',1
border_0_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_10_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_11_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_1_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_12_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_13_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_2_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_3_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_4_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_5_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_6_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_7_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_8_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
border_9_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
bricks_1_1.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bricks_1_2.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bricks_1_3.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bricks_1_4.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
but_120mm_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_120mmupgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_57mm_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_a10_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_a10upgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_a7v_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_aagun.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_achilles.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_achillies_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_aircraft carrier_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_aircraft carrier_13.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_aircraft carrierupgrade_13.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_airport.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_albatross_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_alexanderthegreat_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_alexanderthegreatupgrade_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_amalgamation_06.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_ancestorworship_02.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_anesthesia_09.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_antiaging pill_14.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_apache_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_apachemg_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_apollo_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_apollo_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_apolloupgrade_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_archery.sst,b'\x00',3,1,b'\x00\x00\x00',64,64,b'\x00',1
but_aries_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_aries_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_arquebus_07t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_artillery_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_artilleryupgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_ashigaruarquebas_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_asianhouse.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_asianpagoda.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_astrology_07.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_atom manipulation_14.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_attack sub_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_attack sub_11.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_attack sub_12.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_attack subupgrade_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_attack subupgrade_12.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_b17_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_b17upgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_b2_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_b29_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_b2upgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_b52_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_b52upgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_babylontower.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_ballista_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_ballistaupgrade_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_barbarian_05t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_barracks.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_basic oxygen furnace_11.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_basilisk_07t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_battlecry.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bazooka_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bazookaupgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bismarck battleship_11.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bismarck battleshipupgrade_11.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_blackprince_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_blackrobe_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_blackrobeofficer_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bombard_08t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bomber_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_border.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bresden_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_british infantry.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bronze battleshipupgrade_04.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bronzecannon_09t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bronzecannonupgrade_09t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bronzecav_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bronze frigateupgrade_04.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_buckinghampalace.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_building codes_12.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_bullseye lantern_06.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_byzantine frigateupgrade_05.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_c47_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cancel input down.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cancel input.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_capitol.sst,b'\x00',3,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cargotruck_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cataphract_05t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cataphractupgrade_05t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_catapult_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cavalryarcher_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cavalryarcherupgrade_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_ceasar_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_ceasarupgrade_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_centurian_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_centurian_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_centurianupgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_ceremonial burial_02.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_chariotarcher_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_charlemagne_05t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_charlemagneupgrade_05t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_chemical drugs_08.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_child_02t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_child_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_child_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_child_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_chineseinfantry_00.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_citizen_01t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_citizen_02t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_citizen_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_citizen_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_clubman_01t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_coffer dam_05.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_colliseum.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_commercial law_05.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_companioncav_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_comparitive anatomy_05.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_compositearcher_05t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_compositearcherupgrade_05t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_computer.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_corsair_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_crossbow_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cruiser_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cruiserupgrade_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cruiserupgrade_13.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_crusades_06.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_culverin_07t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cybernetics_14.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cyclops_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cyclops_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_cyclopsupgrade_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_digital library_13.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_doughboy.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_dragoongun_09t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_dragoongunupgrade_09t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_dreadnought_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_dreadnoughtupgrade_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_elcid_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_elephantarcher_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_eliteguard_09t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_elizabeth_08t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_elizabethupgrade_08t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_engineer_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_environmental laws_11.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_02t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_03t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_05t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_07t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_08t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_09t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_11t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_12t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_epoch_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_excommunication_05.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_f14_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_f14upgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_f15_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_f15upgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_f66_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_f66upgrade_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_f80shootingstar_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_f86sabre_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_famine.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_femcitizen_01t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_femcitizen_02t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_femcitizen_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_femcitizen_06t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_femcitizen_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fishing boat_04.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fishing boat_08.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fishing boat_11.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fishing boat_13.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fishing boatupgrade_04.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fishing boatupgrade_08.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fishing boatupgrade_11.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fishing boatupgrade_13.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_flamethrowercamo_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_flies.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fokker_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_french grenadier.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_frigate_03.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_frigateupgrade_03.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_frigateupgrade_ 07.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_furies_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_furies_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_future medic_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_fw190_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galleonupgrade_07.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galley_03.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galley_04.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galley_05.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galley_06.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galleyupgrade_04.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galleyupgrade_05.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galleyupgrade_06.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galleyupgrade_08.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_galleyupgrade_09.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_gate.sst,b'\x00',3,1,b'\x00\x00\x00',64,64,b'\x00',1
but_germaninfantry_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_gilgamesh_03t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_gladiator_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_gladiatorupgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_golden hind_07.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_goodhope frigate_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_goodhope frigateupgrade_10.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_gotha_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_granary.sst,b'\x00',3,1,b'\x00\x00\x00',64,64,b'\x00',1
but_grenadelauncher_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_grigor_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_grigor2_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hades_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hades_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hafts_02.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_halberdier_08t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_halberdierupgrade_08t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_halftrack_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hammer drilling rig_11.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hannibal_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hannibalupgrade_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hardened chisel.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hauptmanndurer_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_he111_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_he111upgrade_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hector_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_helichinook_10t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_helicopterupgrade_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_helipegesus_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_helipegesusupgrade_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_helispectre_14t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_henryv_07t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_henryvupgrade_07t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_herbal medicines_03.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hercules_12t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hippocratic oath_04.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_horselesswilliam_04t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hospital.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_housecarl_09t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_house.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hovercraft_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
but_hovertank_13t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
